;fixed acidity;volatile acidity;citric acid;residual sugar
0;7.0;0.27;0.36;20.7
1;6.3;0.3;0.34;1.6
2;8.1;0.28;0.4;6.9
3;7.2;0.23;0.32;8.5
4;7.2;0.23;0.32;8.5
5;8.1;0.28;0.4;6.9
6;6.2;0.32;0.16;7.0
7;7.0;0.27;0.36;20.7
8;6.3;0.3;0.34;1.6
9;8.1;0.22;0.43;1.5
10;8.1;0.27;0.41;1.45
11;8.6;0.23;0.4;4.2
12;7.9;0.18;0.37;1.2
13;6.6;0.16;0.4;1.5
14;8.3;0.42;0.62;19.25
15;6.6;0.17;0.38;1.5
16;6.3;0.48;0.04;1.1
17;6.2;0.66;0.48;1.2
18;7.4;0.34;0.42;1.1
19;6.5;0.31;0.14;7.5
20;6.2;0.66;0.48;1.2
21;6.4;0.31;0.38;2.9
22;6.8;0.26;0.42;1.7
23;7.6;0.67;0.14;1.5
24;6.6;0.27;0.41;1.3
25;7.0;0.25;0.32;9.0
26;6.9;0.24;0.35;1.0
27;7.0;0.28;0.39;8.7
28;7.4;0.27;0.48;1.1
29;7.2;0.32;0.36;2.0
30;8.5;0.24;0.39;10.4
31;8.3;0.14;0.34;1.1
32;7.4;0.25;0.36;2.05
33;6.2;0.12;0.34;1.5
34;5.8;0.27;0.2;14.95
35;7.3;0.28;0.43;
36;6.5;0.39;0.23;5.4
37;7.0;0.33;0.32;1.2
38;7.3;0.24;0.39;
39;7.3;0.24;0.39;17.95
40;6.7;0.23;0.39;2.5
41;6.7;0.24;0.39;2.9
42;7.0;0.31;0.26;7.4
43;6.6;0.24;0.27;1.4
44;6.7;0.23;0.26;1.4
45;7.4;0.18;0.31;1.4
46;6.2;0.45;0.26;4.4
47;6.2;0.46;0.25;
48;7.0;0.31;0.26;7.4
49;6.9;0.19;0.35;5.0
50;7.2;0.19;0.31;1.6
51;6.6;0.25;0.29;1.1
52;6.2;0.16;0.33;1.1
53;6.4;0.18;0.35;1.0
54;6.8;0.2;0.59;0.9
55;6.9;0.25;0.35;1.3
56;7.2;0.21;0.34;11.9
57;6.0;0.19;0.26;12.4
58;6.6;0.38;0.15;4.6
59;7.4;0.2;0.36;1.2
60;6.8;0.22;0.24;4.9
61;6.0;0.19;0.26;12.4
62;7.0;0.47;0.07;1.1
63;6.6;0.38;0.15;4.6
64;7.2;0.24;0.27;1.4
65;6.2;0.35;0.03;1.2
66;6.4;0.26;0.24;6.4
67;6.7;0.25;0.13;1.2
68;6.7;0.23;0.31;
69;7.4;0.24;0.29;10.1
70;6.2;0.27;0.43;7.8
71;6.8;0.3;0.23;4.6
72;6.0;0.27;0.28;4.8
73;8.6;0.23;0.46;1.0
74;6.7;0.23;0.31;
75;7.4;0.24;0.29;10.1
76;7.1;0.18;0.36;
77;7.0;0.32;0.34;1.3
78;7.4;0.18;0.3;8.8
79;6.7;0.54;0.28;5.4
80;6.8;0.22;0.31;1.4
81;7.1;0.2;0.34;16.0
82;7.1;0.34;0.2;6.1
83;7.3;0.22;0.3;8.2
84;7.1;0.43;0.61;11.8
85;7.1;0.44;0.62;11.8
86;7.2;0.39;0.63;11.0
87;6.8;0.25;0.31;13.3
88;7.1;0.43;0.61;11.8
89;7.1;0.44;0.62;11.8
90;7.2;0.39;0.63;
91;6.1;0.27;0.43;7.5
92;6.9;0.24;0.33;1.7
93;6.9;0.21;0.33;1.8
94;7.5;0.17;0.32;1.7
95;7.1;0.26;0.29;
96;6.0;0.34;0.66;15.9
97;8.6;0.265;0.36;1.2
98;9.8;0.36;0.46;10.5
99;6.0;0.34;0.66;15.9
100;7.4;0.25;0.37;13.5
101;7.1;0.12;0.32;9.6
102;6.0;0.21;0.24;12.1
103;7.5;0.305;0.4;18.9
104;7.4;0.25;0.37;13.5
105;7.3;0.13;0.32;14.4
106;7.1;0.12;0.32;
107;7.1;0.23;0.35;16.5
108;7.1;0.23;0.35;16.5
109;6.9;0.33;0.28;1.3
110;6.5;0.17;0.54;
111;7.2;0.27;0.46;18.75
112;7.2;0.31;0.5;13.3
113;6.7;0.41;0.34;9.2
114;6.7;0.41;0.34;9.2
115;5.5;0.485;0.0;1.5
116;6.0;0.31;0.24;3.3
117;7.0;0.14;0.4;1.7
118;7.2;0.31;0.5;13.3
119;7.3;0.32;0.48;13.3
120;5.9;0.36;0.04;5.7
121;7.8;0.24;0.32;12.2
122;7.4;0.16;0.31;6.85
123;6.9;0.19;0.28;5.0
124;6.4;0.13;0.47;1.6
125;6.7;0.19;0.36;1.1
126;7.4;0.39;0.23;7.0
127;6.5;0.24;0.32;7.6
128;6.1;0.3;0.56;2.8
129;6.1;0.3;0.56;2.7
130;5.7;0.26;0.25;10.4
131;6.5;0.24;0.32;7.6
132;6.5;0.425;0.4;13.1
133;6.6;0.24;0.27;15.8
134;6.8;0.27;0.22;8.1
135;6.7;0.27;0.31;15.7
136;8.2;0.23;0.4;1.2
137;7.1;0.37;0.67;10.5
138;6.8;0.19;0.36;1.9
139;8.1;0.28;0.39;1.9
140;6.3;0.31;0.34;2.2
141;7.1;0.37;0.67;10.5
142;7.9;0.21;0.4;1.2
143;8.5;0.21;0.41;4.3
144;8.1;0.2;0.4;2.0
145;6.3;0.255;0.37;1.1
146;5.6;0.16;0.27;1.4
147;6.4;0.595;0.14;5.2
148;6.3;0.34;0.33;4.6
149;6.9;0.25;0.3;4.1
150;7.9;0.22;0.38;8.0
151;7.6;0.18;0.46;
152;6.9;0.25;0.3;4.1
153;7.2;0.18;0.41;1.2
154;8.2;0.23;0.4;7.5
155;7.4;0.24;0.42;14.0
156;7.4;0.24;0.42;14.0
157;6.1;0.32;0.24;1.5
158;5.2;0.44;0.04;1.4
159;5.2;0.44;0.04;1.4
160;6.1;0.32;0.24;1.5
161;6.4;0.22;0.56;14.5
162;6.3;0.36;0.3;4.8
163;7.4;0.24;0.42;14.0
164;6.7;0.24;0.35;13.1
165;7.0;0.23;0.36;13.0
166;8.4;0.27;0.46;8.7
167;6.7;0.46;0.18;2.4
168;7.5;0.29;0.31;8.95
169;9.8;0.42;0.48;9.85
170;7.1;0.3;0.46;1.5
171;7.9;0.19;0.45;1.5
172;7.6;0.48;0.37;0.8
173;6.3;0.22;0.43;4.55
174;7.5;0.27;0.31;17.7
175;6.9;0.23;0.4;7.5
176;7.2;0.32;0.47;5.1
177;5.9;0.23;0.3;
178;6.0;0.67;0.07;1.2
179;6.4;0.25;0.32;5.5
180;6.4;0.33;0.31;5.5
181;7.1;0.34;0.15;1.2
182;6.8;0.28;0.4;22.0
183;6.9;0.27;0.4;14.0
184;6.8;0.26;0.56;11.9
185;6.8;0.29;0.56;11.9
186;6.7;0.24;0.41;9.4
187;5.9;0.3;0.23;4.2
188;6.8;0.53;0.35;3.8
189;6.5;0.28;0.28;8.5
190;6.6;0.28;0.28;8.5
191;6.8;0.28;0.4;
192;6.8;0.28;0.36;8.0
193;6.6;0.15;0.34;5.1
194;6.4;0.29;0.44;
195;6.4;0.3;0.45;3.5
196;6.4;0.29;0.44;3.6
197;6.8;0.26;0.24;7.8
198;7.1;0.32;0.24;13.1
199;6.8;0.26;0.24;7.8
200;6.8;0.27;0.26;16.1
201;7.1;0.32;0.24;13.1
202;6.9;0.54;0.32;13.2
203;6.8;0.26;0.34;13.9
204;5.8;0.28;0.35;2.3
205;6.4;0.21;0.5;11.6
206;7.0;0.16;0.32;8.3
207;10.2;0.44;0.88;6.2
208;6.8;0.57;0.29;2.2
209;6.1;0.4;0.31;0.9
210;5.6;0.245;0.25;9.7
211;6.8;0.18;0.38;1.4
212;7.0;0.16;0.32;8.3
213;6.7;0.13;0.29;5.3
214;6.2;0.25;0.25;1.4
215;5.8;0.26;0.24;9.2
216;7.5;0.27;0.36;7.0
217;5.8;0.26;0.24;9.2
218;5.7;0.28;0.24;17.5
219;7.5;0.23;0.36;7.0
220;7.5;0.27;0.36;7.0
221;7.2;0.685;0.21;9.5
222;6.2;0.25;0.25;1.4
223;6.5;0.19;0.3;0.8
224;6.3;0.495;0.22;1.8
225;7.1;0.24;0.41;17.8
226;6.4;0.17;0.32;2.4
227;7.1;0.25;0.32;10.3
228;6.4;0.17;0.32;2.4
229;7.1;0.24;0.41;
230;6.8;0.64;0.08;9.7
231;8.3;0.28;0.4;7.8
232;8.2;0.27;0.39;7.8
233;7.2;0.23;0.38;14.3
234;7.2;0.23;0.38;14.3
235;7.2;0.23;0.38;14.3
236;7.2;0.23;0.38;14.3
237;6.8;0.52;0.32;13.2
238;7.0;0.26;0.59;1.4
239;6.2;0.25;0.21;15.55
240;7.3;0.32;0.23;13.7
241;7.7;0.31;0.26;7.8
242;7.1;0.21;0.37;2.4
243;6.8;0.24;0.34;2.7
244;6.9;0.4;0.56;11.2
245;6.1;0.18;0.36;2.0
246;6.8;0.21;0.27;2.1
247;5.8;0.2;0.27;1.4
248;5.6;0.19;0.26;1.4
249;6.1;0.41;0.14;10.4
250;5.9;0.21;0.28;4.6
251;8.5;0.26;0.21;16.2
252;6.9;0.4;0.56;11.2
253;5.8;0.24;0.44;3.5
254;5.8;0.24;0.39;1.5
255;6.7;0.26;0.39;
256;6.3;0.35;0.3;
257;6.3;0.35;0.3;5.7
258;6.4;0.23;0.39;1.8
259;5.8;0.36;0.38;0.9
260;6.9;0.115;0.35;5.4
261;6.9;0.29;0.4;19.45
262;6.9;0.28;0.4;8.2
263;7.2;0.29;0.4;13.6
264;6.2;0.24;0.35;1.2
265;6.9;0.29;0.4;19.45
266;6.9;0.32;0.26;8.3
267;5.3;0.58;0.07;6.9
268;5.3;0.585;0.07;7.1
269;5.4;0.59;0.07;7.0
270;6.9;0.32;0.26;8.3
271;5.2;0.6;0.07;7.0
272;5.8;0.25;0.26;13.1
273;6.6;0.58;0.3;5.1
274;7.0;0.29;0.54;10.7
275;6.6;0.19;0.41;
276;6.7;0.2;0.41;9.1
277;7.7;0.26;0.4;1.1
278;6.8;0.32;0.34;1.2
279;7.0;0.3;0.49;4.7
280;7.0;0.24;0.36;2.8
281;6.1;0.31;0.58;5.0
282;6.8;0.44;0.37;5.1
283;6.7;0.34;0.3;15.6
284;7.1;0.35;0.24;15.4
285;7.3;0.32;0.25;7.2
286;6.5;0.28;0.33;15.7
287;7.2;0.23;0.39;14.2
288;7.2;0.23;0.39;14.2
289;7.2;0.23;0.39;
290;7.2;0.23;0.39;14.2
291;5.9;0.15;0.31;5.8
292;7.4;0.28;0.42;19.8
293;6.2;0.28;0.22;7.3
294;9.1;0.59;0.38;1.6
295;6.3;0.33;0.27;1.2
296;8.3;0.39;0.7;
297;7.2;0.19;0.46;3.8
298;7.5;0.17;0.44;11.3
299;6.7;0.17;0.5;2.1
300;6.1;0.41;0.0;1.6
301;8.3;0.2;0.35;0.9
302;6.1;0.41;0.0;
303;6.0;0.29;0.21;1.3
304;7.3;0.41;0.24;6.8
305;7.3;0.41;0.24;6.8
306;7.2;0.43;0.24;6.7
307;7.3;0.4;0.24;6.7
308;6.2;0.33;0.27;4.9
309;6.2;0.31;0.26;4.8
310;6.1;0.36;0.27;2.1
311;5.0;0.55;0.14;
312;7.8;0.25;0.41;3.7
313;5.7;0.36;0.21;6.7
314;5.8;0.34;0.21;6.6
315;6.8;0.28;0.6;1.1
316;6.8;0.25;0.34;4.7
317;6.6;0.24;0.35;7.7
318;5.9;0.3;0.47;7.85
319;6.1;0.125;0.25;3.3
320;6.0;0.1;0.24;1.1
321;6.6;0.24;0.35;7.7
322;6.8;0.25;0.34;
323;6.8;0.28;0.44;9.3
324;8.3;0.41;0.51;2.0
325;7.5;0.27;0.31;
326;7.9;0.26;0.41;15.15
327;6.4;0.34;0.23;6.3
328;6.5;0.28;0.35;15.4
329;7.2;0.21;0.41;1.3
330;6.4;0.32;0.35;4.8
331;6.8;0.24;0.34;4.6
332;6.3;0.23;0.3;
333;6.5;0.28;0.34;
334;5.6;0.26;0.26;5.7
335;6.3;0.23;0.3;1.8
336;6.3;0.23;0.33;1.5
337;5.8;0.27;0.27;12.3
338;5.9;0.26;0.4;1.3
339;6.6;0.18;0.35;1.5
340;7.4;0.2;0.43;7.8
341;8.0;0.24;0.36;1.5
342;6.4;0.26;0.42;9.7
343;5.4;0.31;0.47;3.0
344;5.4;0.29;0.47;3.0
345;7.1;0.145;0.33;4.6
346;5.6;0.34;0.1;1.3
347;6.7;0.19;0.41;15.6
348;7.8;0.18;0.46;13.6
349;7.6;0.17;0.45;11.2
350;6.3;0.12;0.36;2.1
351;7.3;0.33;0.4;6.85
352;5.5;0.335;0.3;2.5
353;7.3;0.33;0.4;6.85
354;5.8;0.4;0.42;
355;7.3;0.22;0.37;14.3
356;7.3;0.22;0.37;14.3
357;6.1;0.36;0.33;1.1
358;10.0;0.2;0.39;
359;6.9;0.24;0.34;
360;6.4;0.24;0.32;14.9
361;7.1;0.365;0.14;1.2
362;6.8;0.15;0.3;
363;7.3;0.22;0.37;14.3
364;6.8;0.16;0.4;2.3
365;6.0;0.26;0.32;3.5
366;6.0;0.18;0.27;1.5
367;6.9;0.33;0.21;1.0
368;7.7;0.29;0.48;2.3
369;7.1;0.39;0.35;12.5
370;6.9;0.33;0.21;
371;7.7;0.29;0.48;
372;6.6;0.905;0.19;0.8
373;7.2;0.27;0.27;2.4
374;5.1;0.33;0.22;1.6
375;5.1;0.33;0.22;1.6
376;6.4;0.31;0.28;1.5
377;7.3;0.2;0.44;1.4
378;5.7;0.32;0.5;
379;6.4;0.31;0.28;1.5
380;7.3;0.2;0.44;1.4
381;7.2;0.28;0.26;12.5
382;7.5;0.35;0.28;9.6
383;7.2;0.27;0.27;2.4
384;6.0;0.36;0.39;3.2
385;5.1;0.33;0.22;1.6
386;5.0;0.17;0.56;1.5
387;6.3;0.39;0.35;5.9
388;6.7;0.21;0.32;5.4
389;7.0;0.3;0.38;14.9
390;7.0;0.3;0.38;14.9
391;6.5;0.36;0.32;1.1
392;6.1;0.55;0.15;9.8
393;7.3;0.24;0.43;2.0
394;6.8;0.37;0.51;
395;6.8;0.27;0.12;1.3
396;8.2;0.28;0.42;1.8
397;6.3;0.2;0.4;1.5
398;5.9;0.26;0.27;18.2
399;6.4;0.19;0.42;2.9
400;6.3;0.2;0.4;1.5
401;6.8;0.37;0.51;11.8
402;6.1;0.35;0.07;1.4
403;7.1;0.27;0.31;
404;6.8;0.22;0.31;6.3
405;6.8;0.27;0.12;1.3
406;5.8;0.28;0.34;4.0
407;6.9;0.49;0.24;1.2
408;6.3;0.14;0.39;
409;8.2;0.28;0.42;1.8
410;7.2;0.25;0.39;18.95
411;7.3;0.28;0.36;12.7
412;7.2;0.19;0.39;1.2
413;7.2;0.19;0.39;1.2
414;7.2;0.25;0.39;18.95
415;7.3;0.28;0.36;12.7
416;7.4;0.21;0.27;
417;6.8;0.26;0.22;7.7
418;7.4;0.21;0.27;
419;7.4;0.31;0.28;1.6
420;7.0;0.22;0.31;2.7
421;7.0;0.21;0.28;8.7
422;7.0;0.21;0.28;
423;7.0;0.21;0.28;8.6
424;6.9;0.23;0.38;8.3
425;7.0;0.21;0.28;8.7
426;7.0;0.21;0.28;8.6
427;6.8;0.29;0.5;13.3
428;7.8;0.21;0.27;1.2
429;7.1;0.31;0.47;13.6
430;6.8;0.29;0.5;13.3
431;6.4;0.34;0.1;1.1
432;7.4;0.155;0.34;2.3
433;7.2;0.55;0.09;1.5
434;7.0;0.23;0.36;
435;6.9;0.2;0.37;6.2
436;6.1;0.28;0.32;2.5
437;6.6;0.16;0.32;1.4
438;7.4;0.155;0.34;2.3
439;6.2;0.35;0.04;1.2
440;6.7;0.22;0.37;1.6
441;6.1;0.38;0.2;6.6
442;6.0;0.25;0.28;2.2
443;6.6;0.52;0.44;12.2
444;6.9;0.24;0.36;20.8
