;chlorides;free sulfur dioxide;total sulfur dioxide;density
0;0.045;45.0;170.0;1.001
1;0.049;14.0;132.0;0.9940000000000001
2;0.05;30.0;97.0;0.9951
3;0.057999999999999996;47.0;186.0;0.9956
4;0.057999999999999996;47.0;186.0;0.9956
5;0.05;30.0;97.0;0.9951
6;0.045;30.0;136.0;0.9949
7;0.045;45.0;170.0;1.001
8;0.049;14.0;132.0;0.9940000000000001
9;0.044000000000000004;28.0;129.0;0.9938
10;0.033;11.0;63.0;0.9908
11;0.035;17.0;109.0;0.9947
12;0.04;16.0;75.0;0.992
13;0.044000000000000004;48.0;143.0;0.9912
14;0.04;41.0;172.0;1.0002
15;0.032;28.0;112.0;0.9914
16;0.046;30.0;99.0;0.9928
17;0.028999999999999998;29.0;75.0;0.9892
18;0.033;17.0;171.0;0.9917
19;0.044000000000000004;34.0;133.0;0.9955
20;0.028999999999999998;29.0;75.0;0.9892
21;0.038;19.0;102.0;0.9912
22;0.049;41.0;122.0;0.993
23;0.07400000000000001;25.0;168.0;0.9937
24;0.052000000000000005;16.0;142.0;0.9951
25;0.046;56.0;245.0;0.9955
26;0.052000000000000005;35.0;146.0;0.993
27;0.051;32.0;141.0;0.9961
28;0.047;17.0;132.0;0.9914
29;0.033;37.0;114.0;0.9906
30;0.044000000000000004;20.0;142.0;0.9974
31;0.042;7.0;47.0;0.9934
32;0.05;31.0;100.0;0.992
33;0.045;43.0;117.0;0.9939
34;0.044000000000000004;22.0;179.0;0.9962
35;0.08;21.0;123.0;0.9905
36;0.051;25.0;149.0;0.9934
37;0.053;38.0;138.0;0.9906
38;0.057;45.0;149.0;0.9999
39;0.057;45.0;149.0;0.9999
40;0.172;63.0;158.0;0.9937
41;0.17300000000000001;63.0;157.0;0.9937
42;0.069;28.0;160.0;0.9954
43;0.057;33.0;152.0;0.9934
44;0.06;33.0;154.0;0.9934
45;0.057999999999999996;38.0;167.0;0.9931
46;0.063;63.0;206.0;0.9940000000000001
47;0.066;62.0;207.0;0.9939
48;0.069;28.0;160.0;0.9954
49;0.067;32.0;150.0;0.995
50;0.062;31.0;173.0;0.9917
51;0.068;39.0;124.0;0.9914
52;0.057;21.0;82.0;0.991
53;0.045;39.0;108.0;0.9911
54;0.147;38.0;132.0;0.993
55;0.039;29.0;191.0;0.9908
56;0.043;37.0;213.0;0.9962
57;0.048;50.0;147.0;0.9972
58;0.044000000000000004;25.0;78.0;0.9931
59;0.038;44.0;111.0;0.9926
60;0.092;30.0;123.0;0.9951
61;0.048;50.0;147.0;0.9972
62;0.035;17.0;151.0;0.991
63;0.044000000000000004;25.0;78.0;0.9931
64;0.038;31.0;122.0;0.9927
65;0.064;29.0;120.0;0.9934
66;0.04;27.0;124.0;0.9903
67;0.040999999999999995;81.0;174.0;0.992
68;0.046;30.0;96.0;0.9926
69;0.05;21.0;105.0;0.9962
70;0.055999999999999994;48.0;244.0;0.9956
71;0.061;50.5;238.5;0.9958
72;0.063;31.0;201.0;0.9964
73;0.054000000000000006;9.0;72.0;0.9941
74;0.046;30.0;96.0;0.9926
75;0.05;21.0;105.0;0.9962
76;0.043;31.0;87.0;0.9898
77;0.042;20.0;69.0;0.9912
78;0.064;26.0;103.0;0.9961
79;0.06;21.0;105.0;0.9949
80;0.053;34.0;114.0;0.9929
81;0.05;51.0;166.0;0.9985
82;0.063;47.0;164.0;0.9946
83;0.047;42.0;207.0;0.9966
84;0.045;54.0;155.0;0.9974
85;0.044000000000000004;52.0;152.0;0.9975
86;0.044000000000000004;55.0;156.0;0.9974
87;0.05;69.0;202.0;0.9972
88;0.045;54.0;155.0;0.9974
89;0.044000000000000004;52.0;152.0;0.9975
90;0.044000000000000004;55.0;156.0;0.9974
91;0.049;65.0;243.0;0.9957
92;0.035;47.0;136.0;0.99
93;0.034;48.0;136.0;0.9899
94;0.04;51.0;148.0;0.9916
95;0.044000000000000004;62.0;240.0;0.9969
96;0.046;26.0;164.0;0.9979
97;0.034;15.0;80.0;0.9913
98;0.038;4.0;83.0;0.9956
99;0.046;26.0;164.0;0.9979
100;0.06;52.0;192.0;0.9975
101;0.054000000000000006;64.0;162.0;0.9962
102;0.05;55.0;164.0;0.997
103;0.059000000000000004;44.0;170.0;1.0
104;0.06;52.0;192.0;0.9975
105;0.051;34.0;109.0;0.9974
106;0.054000000000000006;64.0;162.0;0.9962
107;0.04;60.0;171.0;0.9990000000000001
108;0.04;60.0;171.0;0.9990000000000001
109;0.051;37.0;187.0;0.9927
110;0.08199999999999999;64.0;163.0;0.9959
111;0.052000000000000005;45.0;255.0;1.0
112;0.055999999999999994;68.0;195.0;0.9982
113;0.049;29.0;150.0;0.9968
114;0.049;29.0;150.0;0.9968
115;0.065;8.0;103.0;0.9940000000000001
116;0.040999999999999995;25.0;143.0;0.9914
117;0.035;16.0;85.0;0.9911
118;0.055999999999999994;68.0;195.0;0.9982
119;0.06;57.0;196.0;0.9982
120;0.046;21.0;87.0;0.9934
121;0.054000000000000006;42.0;138.0;0.9984
122;0.059000000000000004;31.0;131.0;0.9952
123;0.057999999999999996;14.0;146.0;0.9952
124;0.092;40.0;158.0;0.9928
125;0.026000000000000002;63.0;143.0;0.9912
126;0.033;29.0;126.0;0.9940000000000001
127;0.038;48.0;203.0;0.9958
128;0.044000000000000004;47.0;179.0;0.9924
129;0.046;46.0;184.0;0.9924
130;0.02;7.0;57.0;0.9940000000000001
131;0.038;48.0;203.0;0.9958
132;0.038;59.0;241.0;0.9979
133;0.035;46.0;188.0;0.9982
134;0.034;55.0;203.0;0.9961
135;0.036000000000000004;44.0;179.0;0.9979
136;0.027000000000000003;36.0;121.0;0.992
137;0.045;49.0;155.0;0.9975
138;0.035;30.0;96.0;0.9917
139;0.028999999999999998;18.0;79.0;0.9923
140;0.045;20.0;77.0;0.9927
141;0.045;49.0;155.0;0.9975
142;0.039;38.0;107.0;0.992
143;0.036000000000000004;24.0;99.0;0.9947
144;0.037000000000000005;19.0;87.0;0.9921
145;0.04;37.0;114.0;0.9905
146;0.044000000000000004;53.0;168.0;0.9918
147;0.057999999999999996;15.0;97.0;0.9951
148;0.034;19.0;80.0;0.9917
149;0.054000000000000006;23.0;116.0;0.9940000000000001
150;0.043;46.0;152.0;0.9934
151;0.055;58.0;135.0;0.9968
152;0.054000000000000006;23.0;116.0;0.9940000000000001
153;0.048;41.0;97.0;0.9919
154;0.049;12.0;76.0;0.9966
155;0.066;48.0;198.0;0.9979
156;0.066;48.0;198.0;0.9979
157;0.036000000000000004;38.0;124.0;0.9898
158;0.036000000000000004;43.0;119.0;0.9894
159;0.036000000000000004;43.0;119.0;0.9894
160;0.036000000000000004;38.0;124.0;0.9898
161;0.055;27.0;159.0;0.998
162;0.049;14.0;85.0;0.9932
163;0.066;48.0;198.0;0.9979
164;0.05;64.0;205.0;0.997
165;0.051;72.0;177.0;0.9972
166;0.048;39.0;197.0;0.9974
167;0.034;25.0;98.0;0.9896
168;0.055;20.0;151.0;0.9968
169;0.034;5.0;110.0;0.9958
170;0.066;29.0;133.0;0.9906
171;0.045;17.0;96.0;0.9917
172;0.037000000000000005;4.0;100.0;0.9902
173;0.038;31.0;130.0;0.9918
174;0.051;33.0;173.0;0.9990000000000001
175;0.04;50.0;151.0;0.9927
176;0.044000000000000004;19.0;65.0;0.991
177;0.054000000000000006;57.0;170.0;0.9972
178;0.06;9.0;108.0;0.9931
179;0.049;41.0;176.0;0.995
180;0.048;42.0;173.0;0.9951
181;0.053;61.0;183.0;0.9936
182;0.048;48.0;167.0;1.001
183;0.05;64.0;227.0;0.9979
184;0.043;64.0;226.0;0.997
185;0.043;66.0;230.0;0.9972
186;0.04;49.0;166.0;0.9954
187;0.038;42.0;119.0;0.9924
188;0.034;26.0;109.0;0.9906
189;0.047;54.0;210.0;0.9962
190;0.052000000000000005;55.0;211.0;0.9962
191;0.048;48.0;167.0;1.001
192;0.045;28.0;123.0;0.9928
193;0.055;34.0;125.0;0.9942
194;0.2;75.0;181.0;0.9942
195;0.19699999999999998;76.0;180.0;0.9942
196;0.19699999999999998;75.0;183.0;0.9942
197;0.052000000000000005;54.0;214.0;0.9961
198;0.05;52.0;204.0;0.998
199;0.052000000000000005;54.0;214.0;0.9961
200;0.049;55.0;196.0;0.9984
201;0.05;52.0;204.0;0.998
202;0.05;53.0;236.0;0.9973
203;0.034;39.0;134.0;0.9949
204;0.053;36.0;114.0;0.9924
205;0.042;45.0;153.0;0.9972
206;0.045;38.0;126.0;0.9958
207;0.049;20.0;124.0;0.9968
208;0.04;15.0;77.0;0.9938
209;0.048;23.0;170.0;0.993
210;0.032;12.0;68.0;0.9940000000000001
211;0.038;35.0;111.0;0.9918
212;0.045;38.0;126.0;0.9958
213;0.051;31.0;122.0;0.9944
214;0.03;35.0;105.0;0.9912
215;0.044000000000000004;55.0;152.0;0.9961
216;0.036000000000000004;45.0;164.0;0.9939
217;0.044000000000000004;55.0;152.0;0.9961
218;0.044000000000000004;60.0;167.0;0.9989
219;0.036000000000000004;43.0;161.0;0.9938
220;0.036000000000000004;45.0;164.0;0.9939
221;0.07;33.0;172.0;0.9971
222;0.03;35.0;105.0;0.9912
223;0.043;33.0;144.0;0.9936
224;0.046;31.0;140.0;0.9929
225;0.046;39.0;145.0;0.9998
226;0.048;41.0;200.0;0.9938
227;0.040999999999999995;66.0;272.0;0.9969
228;0.048;41.0;200.0;0.9938
