;pH;sulphates;alcohol;quality
0;3.0;0.45;8.8;6
1;3.3;0.49;9.5;6
2;3.26;0.44;10.1;6
3;3.19;0.4;9.9;6
4;3.19;0.4;9.9;6
5;3.26;0.44;10.1;6
6;3.18;0.47;9.6;6
7;3.0;0.45;8.8;6
8;3.3;0.49;9.5;6
9;3.22;0.45;11.0;6
10;2.99;0.56;12.0;5
11;3.14;0.53;9.7;5
12;3.18;0.63;10.8;5
13;3.54;0.52;12.4;7
14;2.98;0.67;9.7;5
15;3.25;0.55;11.4;7
16;3.24;0.36;9.6;6
17;3.33;0.39;12.8;8
18;3.12;0.53;11.3;6
19;3.22;0.5;9.5;5
20;3.33;0.39;12.8;8
21;3.17;0.35;11.0;7
22;3.47;0.48;10.5;8
23;3.05;0.51;9.3;5
24;3.42;0.47;10.0;6
25;3.25;0.5;10.4;6
26;3.45;0.44;10.0;6
27;3.38;0.53;10.5;6
28;3.19;0.49;11.6;6
29;3.1;0.71;12.3;7
30;3.2;0.53;10.0;6
31;3.47;0.4;10.2;6
32;3.19;0.44;10.8;6
33;3.42;0.51;9.0;6
34;3.37;0.37;10.2;5
35;3.19;0.42;12.8;5
36;3.24;0.35;10.0;5
37;3.13;0.28;11.2;6
38;3.21;0.36;8.6;5
39;3.21;0.36;8.6;5
40;3.11;0.36;9.4;6
41;3.1;0.34;9.4;6
42;3.13;0.46;9.8;6
43;3.22;0.56;9.5;6
44;3.24;0.56;9.5;6
45;3.16;0.53;10.0;7
46;3.27;0.52;9.8;4
47;3.25;0.52;9.8;5
48;3.13;0.46;9.8;6
49;3.36;0.48;9.8;5
50;3.35;0.44;11.7;6
51;3.34;0.58;11.0;7
52;3.32;0.46;10.9;7
53;3.31;0.35;10.9;6
54;3.05;0.38;9.1;6
55;3.13;0.52;11.0;6
56;3.09;0.5;9.6;6
57;3.3;0.36;8.9;6
58;3.11;0.38;10.2;6
59;3.36;0.34;9.9;6
60;3.03;0.46;8.6;6
61;3.3;0.36;8.9;6
62;3.02;0.34;10.5;5
63;3.11;0.38;10.2;6
64;3.15;0.46;10.3;6
65;3.22;0.54;9.1;5
66;3.22;0.49;12.6;7
67;3.14;0.42;9.8;5
68;3.33;0.64;10.7;8
69;3.13;0.35;9.5;5
70;3.1;0.51;9.0;6
71;3.32;0.6;9.5;5
72;3.69;0.71;10.0;5
73;2.95;0.49;9.1;6
74;3.33;0.64;10.7;8
75;3.13;0.35;9.5;5
76;3.26;0.37;12.7;7
77;3.31;0.65;12.0;7
78;2.94;0.56;9.3;5
79;3.27;0.37;9.0;5
80;3.39;0.77;10.6;6
81;3.21;0.6;9.2;6
82;3.17;0.42;10.0;5
83;3.33;0.46;9.5;6
84;3.11;0.45;8.7;5
85;3.12;0.46;8.7;6
86;3.09;0.44;8.7;6
87;3.22;0.48;9.7;6
88;3.11;0.45;8.7;5
89;3.12;0.46;8.7;6
90;3.09;0.44;8.7;6
91;3.12;0.47;9.0;5
92;3.26;0.4;12.6;7
93;3.25;0.41;12.6;7
94;3.21;0.44;11.5;7
95;3.04;0.42;9.2;6
96;3.14;0.5;8.8;6
97;2.95;0.36;11.4;7
98;2.89;0.3;10.1;4
99;3.14;0.5;8.8;6
100;3.0;0.44;9.1;5
101;3.4;0.41;9.4;5
